study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,review_coding,review_note
a000391,steve,2020-09-02,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,4,3,European Bioinformations Institute Accession No. PRJEB11414,other,Needed to navigate to European Bioinformatics Institute website and search by accession number,https://www.ebi.ac.uk/ena/browser/view/PRJEB11414,yes,NA,European Nucleotide Archive,yes,NA,partial,Files exceed 100MB - single file plus metadata downloaded,Large genetic dataset many GB,European Bioinformations Institute Accession No. PRJEB11414,European Bioinformations Institute Accession No. PRJEB11414,European Bioinformations Institute Accession No. PRJEB11414,NA,NA
a000391,steve,2020-09-02,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,4,4,European Bioinformations Institute Accession No. PRJEB30873,other,Needed to navigate to European Bioinformatics Institute website and search by accession number,https://www.ebi.ac.uk/ena/browser/view/PRJEB30873,yes,NA,European Nucleotide Archive,yes,NA,yes,NA,Was able to download all files listed on page,European Bioinformations Institute Accession No. PRJEB30873,European Bioinformations Institute Accession No. PRJEB30873,European Bioinformations Institute Accession No. PRJEB30873,NA,NA
a000493,steve,2020-09-02,yes,NA,yes,NA,other,Article has a link (which is almost certainly incorrect) but also a separate accession number for the raw data with no hyperlink,2,2,BioProject Accession No. PRJNA574440,other,Needed to navigate to BioProject website and search by accession number,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA574440,yes,NA,BioProject,yes,NA,partial,repo has 31 data files to download - just downloaded the first file in list,No hyperlink to data - just accession number and name of repo,BioProject Accession No. PRJNA574440,BioProject Accession No. PRJNA574440,BioProject Accession No. PRJNA574440,NA,NA
a000562,steve,2020-07-24,yes,NA,yes,NA,yes,NA,3,3,https://10.6084/m9.figshare.9227495,other,"This URL is malformed; the doi.org/ part is missing, it worked once corrected",https://figshare.com/articles/EEG_data_from_Subject_16_to_Subject_30_read_me/9227495,yes,NA,figshare,yes,NA,other,Total download size exceeded 100MB,Very large data set (2.89GB),https://10.6084/m9.figshare.9227495,https://10.6084/m9.figshare.9227495,10.6084/m9.figshare.9227495,NA,NA
a000750,steve,2020-08-09,yes,NA,no,NA,yes,NA,2,2,https://osf.io.yiupc,other,"There was a typo in the URL as supplied, easily fixed",https://osf.io/yiupc/,yes,NA,OSF,yes,NA,yes,NA,"Unclear if this data was for the present article, or the article they were responding to",https://osf.io.yiupc,https://osf.io.yiupc,osf.io.yiupc,NA,NA
a000770,nguyenlam,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,http://doi:10.7910/DVN/TJKIWN,other,"The given does not directly lead to repository page, but lead to a Google search result page. The correct link to data reposiitory is the first result on Googel search page.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TJKIWN,yes,NA,Harvard Daraverse,yes,NA,yes,NA,"Note in ""link_work_noother""",NA,http://doi:10.7910/DVN/TJKIWN,doi:10.7910/DVN/TJKIWN,NA,NA
a000770,sophia,2020-04-27,yes,NA,yes,NA,yes,NA,1,1,http://doi:10.7910/DVN/TJKIWN,other,"Redirect notice', but the link http://doi.og/10.7910/DVN/TJKIWN works",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TJKIWN,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://doi:10.7910/DVN/TJKIWN,doi:10.7910/DVN/TJKIWN,NA,NA
a000792,steve,2020-07-09,yes,NA,yes,NA,yes,NA,6,4,10.5285/f52f012d‐9f2e‐42cc‐b628‐9cdea4fa3ba0,other,Encoding issue with hyphens/dashes when copied and pasted directly from PDF,https://catalogue.ceh.ac.uk/documents/f52f012d-9f2e-42cc-b628-9cdea4fa3ba0,yes,NA,NERC Environmental Information Data Centre,yes,NA,other,Account required to access data; could download metadata and documentation,"DOIs only, rather than URLs. Account required to access data; could download metadata and documentation",NA,10.5285/f52f012d‐9f2e‐42cc‐b628‐9cdea4fa3ba0,10.5285/f52f012d‐9f2e‐42cc‐b628‐9cdea4fa3ba0,NA,NA
a000880,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Site can' be reached,NA,NA,NA,NA,NA,NA,NA,NA,Link did not work,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,aniruddah,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Link redirects to an IP address that cannot be found,NA,NA,NA,NA,NA,NA,NA,NA,"The data repo link listed in the open practices disclosure pdf under the supplementary materials page for this article in SAGE journals is the same as this link, and hence, no other explicity link seems to indicate to the data.",NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"Upon opening link, the following error message occurs: ""Site can't be reached/IP address unable to be found""",NA,NA,NA,NA,NA,NA,NA,NA,"Upon opening link, the following error message occurs: ""Site can't be reached/IP address unable to be found""",NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,The site can’t be reached,NA,NA,NA,NA,NA,NA,NA,NA,The provided link didn't work,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,The link provided does not work,NA,NA,NA,NA,NA,NA,NA,NA,The link provided does not work,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"Says the site cannot be reached, server IP cannot be found",NA,NA,NA,NA,NA,NA,NA,NA,Main issue here is that the link did not work,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"The link said ""This site can't be reach/ server IP address could not be found",NA,NA,NA,NA,NA,NA,NA,NA,"Note in ""link_work"" column: The link does not work",NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,pisa2006.acer.edu.au/downloads.php,no,Dead link. Server could not be found.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,this site can't be reached,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Site cannot be reached' warning,NA,NA,NA,NA,NA,NA,NA,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a001149,steve,2020-09-02,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,2,2,DDBJ database accession no. DRP005397,other,Needed to navigate to Bioinformation and DDBJ Center website and search by accession number,https://ddbj.nig.ac.jp/DRASearch/study?acc=DRP005397,yes,NA,DDBJ,yes,NA,partial,"Total download size exceeded 100MB, downloaded metadata and two data files","The data availability statement reads ""The data have been deposited in the DDBJ database with accession number DRP005397."" but there is no hyperlink in article",DDBJ database accession no. DRP005397,DDBJ database accession no. DRP005397,DDBJ database accession no. DRP005397,NA,NA
a001293,steve,2020-07-10,yes,NA,yes,NA,yes,NA,2,2,https://doi.org/10.14284/PANGAEA.329,no,Invalid DOI,NA,NA,NA,NA,NA,NA,NA,NA,This might be a drafting error? DOI is very similar to the one that works,NA,https://doi.org/10.14284/PANGAEA.329,doi.org/10.14284/PANGAEA.329,NA,NA
a001548,steve,2020-07-10,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.11922/sciencedb.642,no,500 error,NA,NA,NA,NA,NA,NA,NA,NA,"Link resolved to http://www.sciencedb.cn/dataSet/handle/642, but server returned 500 error. Can't find data by searching on scidb.cn, either.",NA,https://doi.org/10.11922/sciencedb.642,doi.org/10.11922/sciencedb.642,NA,NA
a001614,steve,2020-05-21,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MVGYWG,no,Asks for a login - may be a not found error,NA,NA,NA,NA,NA,NA,NA,NA,"DOI could not be found, either - searching by author on dataverse does not return this study",NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MVGYWG,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MVGYWG,NA,NA
